fid;DN;a_quilômetros quadrados;p_quilômetros
3830;3;0;0.17
3831;3;0.01;0.81
3832;21;0.01;0.4
3833;21;0;0.23
3834;15;0.01;0.46
3835;21;0;0.17
3836;21;0;0.17
3837;21;0;0.12
3838;21;0;0.12
3839;21;0;0.12
3840;21;0;0.12
3841;15;0.01;0.4
3842;3;0.09;2.82
3843;21;0.02;0.69
3844;15;0.01;0.64
3845;15;0.01;0.58
3846;21;0.01;0.4
3847;21;0;0.23
3848;3;0.01;0.63
3849;21;0;0.12
3850;21;0;0.17
3851;21;0;0.17
3852;15;0.23;4.21
3853;3;0.34;5.57
3854;21;0;0.29
3855;21;0.01;0.52
3856;21;0.01;0.4
3857;21;0;0.17
3858;21;0;0.17
3859;21;0;0.17
3860;21;0;0.12
3861;21;0;0.12
3862;21;0;0.12
3863;21;0.45;13.63
3864;15;0.01;0.58
3865;15;0.01;0.52
3866;15;0.01;0.52
3867;3;0.01;0.4
3868;21;0;0.17
3869;15;0.01;0.57
3870;15;0;0.29
3871;21;0.36;6.97
3872;12;0.01;0.46
3873;21;0;0.17
3874;12;0.01;0.63
3875;21;0;0.23
3876;21;0;0.12
3877;21;0.18;3.96
3878;3;0.03;1.09
3879;15;0.01;0.52
3880;21;0.04;1.04
3881;21;0.01;0.69
3882;21;0;0.23
3883;21;0.03;1.38
3884;21;0.06;2.25
3885;21;0.02;1.32
3886;3;0;0.12
3887;3;0;0.12
3888;3;0;0.34
3889;3;0;0.23
3890;3;0;0.17
3891;21;0;0.12
3892;21;0.01;0.75
3893;15;0.04;1.37
3894;15;0.01;0.86
3895;21;0.01;0.52
3896;3;0;0.17
3897;21;0;0.17
3898;21;0;0.17
3899;21;0;0.17
3900;21;0;0.17
3901;3;0;0.12
3902;3;0;0.12
3903;3;0;0.12
3904;3;0;0.12
3905;3;0;0.12
3906;21;0;0.12
3907;21;0;0.12
3908;21;0;0.17
3909;21;0.01;0.46
3910;3;0.06;1.67
3911;15;0;0.35
3912;12;0.01;0.52
3913;21;0.01;0.52
3914;21;0;0.17
3915;21;0;0.4
3916;3;0;0.29
3917;21;0;0.17
3918;21;0.02;1.15
3919;21;0;0.17
3920;21;0;0.17
3921;21;0;0.12
3922;3;0;0.12
3923;21;0;0.29
3924;3;0;0.23
3925;15;0.01;0.46
3926;21;0.05;1.73
3927;12;0.07;1.91
3928;3;0;0.35
3929;21;0.01;0.57
3930;12;0;0.17
3931;21;0;0.23
3932;21;0;0.12
3933;21;0;0.17
3934;21;0.01;0.46
3935;21;0;0.12
3936;15;0;0.12
3937;12;0.01;0.75
3938;21;0.02;0.98
3939;21;0;0.23
3940;15;0.01;0.4
3941;3;0.01;0.57
3942;3;0;0.29
3943;3;0.01;0.46
3944;3;0;0.17
3945;3;0;0.23
3946;21;0;0.12
3947;21;0;0.17
3948;12;0;0.12
3949;21;0;0.34
3950;21;0.01;0.35
3951;21;0;0.17
3952;21;0.03;1.32
3953;3;0.02;0.75
3954;15;0;0.35
3955;21;0;0.35
3956;15;0.05;1.15
3957;21;0;0.12
3958;21;0;0.12
3959;21;0;0.12
3960;21;0;0.12
3961;3;0;0.12
3962;21;0.01;0.4
3963;21;0.26;4.96
3964;21;0.01;0.58
3965;12;0;0.23
3966;3;0;0.23
3967;21;0;0.17
3968;21;0;0.35
3969;3;0;0.12
3970;21;0;0.23
3971;15;0.11;2.65
3972;21;0.01;0.52
3973;15;0.01;0.4
3974;21;0;0.4
3975;21;0;0.23
3976;3;0;0.17
3977;12;0;0.29
3978;21;0;0.28
3979;3;0;0.12
3980;15;0.01;0.86
3981;21;0;0.12
3982;21;0;0.28
3983;21;0.31;9.05
3984;21;0.06;2.02
3985;21;0.02;0.98
3986;21;0.03;0.86
3987;21;0;0.29
3988;3;0.01;0.57
3989;21;0;0.29
3990;3;0;0.23
3991;21;0.03;1.09
3992;15;0.01;0.46
3993;21;0;0.17
3994;21;0;0.12
3995;21;0;0.12
3996;21;0;0.17
3997;21;0;0.12
3998;21;0;0.12
3999;21;0.01;0.52
4000;25;0.01;0.41
4001;21;0.01;0.57
4002;21;0.01;0.4
4003;21;0;0.17
4004;12;0;0.35
4005;21;0;0.17
4006;21;0;0.4
4007;15;0.02;0.87
4008;21;0;0.12
4009;21;0;0.12
4010;15;0.34;6.34
4011;21;0.12;3.91
4012;21;0.01;0.4
4013;21;0;0.35
4014;3;0.04;1.39
4015;21;0;0.35
4016;21;0;0.23
4017;15;0.01;0.63
4018;21;0;0.17
4019;21;0.01;0.46
4020;21;0;0.23
4021;21;0.03;1.04
4022;21;0;0.12
4023;21;0;0.12
4024;3;0;0.12
4025;21;0;0.12
4026;15;0.01;0.58
4027;3;0;0.12
4028;21;0;0.12
4029;21;0;0.12
4030;21;0;0.12
4031;3;0.11;2.89
4032;21;0.17;4.14
4033;21;0.01;0.46
4034;21;0.01;0.46
4035;3;0.01;0.4
4036;21;0;0.4
4037;21;0.03;1.16
4038;21;0;0.17
4039;21;0;0.12
4040;21;0;0.12
4041;21;0;0.12
4042;15;0;0.12
4043;3;0;0.12
4044;21;0;0.17
4045;21;0;0.17
4046;12;0.07;1.5
4047;15;0.12;2.35
4048;24;0.03;1.15
4049;15;0.1;2.35
4050;15;0.1;2.25
4051;21;0.17;3.52
4052;21;0.01;0.58
4053;15;0;0.29
4054;3;0.01;0.4
4055;21;0.09;2.87
4056;21;0.01;0.4
4057;21;0;0.17
4058;15;0;0.23
4059;33;0.01;0.34
4060;21;0;0.17
4061;21;0;0.12
4062;21;0;0.12
4063;21;0.01;0.86
4064;33;0;0.12
4065;21;0;0.12
4066;21;0;0.12
4067;21;0.61;17.31
4068;21;0.03;1.21
4069;21;0.21;5.54
4070;21;0;0.29
4071;21;0.04;1.27
4072;21;0.01;0.46
4073;21;0;0.4
4074;15;0.01;0.52
4075;21;0;0.29
4076;3;0;0.17
4077;21;0;0.17
4078;21;0;0.29
4079;21;0;0.12
4080;21;0;0.12
4081;21;0;0.12
4082;21;0.06;2.07
4083;21;3.19;73.37
4084;15;0.04;1.04
4085;3;0.01;0.69
4086;21;0.01;0.63
4087;21;0.02;0.86
4088;21;0;0.4
4089;21;0;0.29
4090;3;0;0.12
4091;21;0;0.12
4092;21;0;0.12
4093;21;0;0.12
4094;33;0;0.29
4095;3;0;0.12
4096;21;0.02;0.64
4097;21;0;0.17
4098;3;0;0.12
4099;21;0.13;3.79
4100;21;0.02;0.86
4101;11;0;0.29
4102;21;0.01;0.35
4103;3;0;0.23
4104;3;2.28;24.41
4105;21;0;0.12
4106;21;0;0.12
4107;3;0;0.12
4108;21;0;0.17
4109;21;0;0.12
4110;21;0;0.12
4111;21;0;0.17
4112;21;0;0.29
4113;9;0;0.4
4114;21;0;0.17
4115;21;0.01;0.4
4116;3;0;0.17
4117;21;0;0.12
4118;21;0;0.12
4119;12;0;0.12
4120;15;0.01;0.51
4121;3;0;0.12
4122;21;0;0.12
4123;21;0;0.12
4124;21;0;0.17
4125;21;0;0.23
4126;21;0;0.12
4127;3;0.01;0.81
4128;12;0.05;1.44
4129;21;0.03;0.98
4130;15;0.01;0.35
4131;15;0.01;0.35
4132;21;0;0.23
4133;21;0;0.17
4134;21;0;0.29
4135;21;0;0.17
4136;15;0;0.23
4137;21;0;0.12
4138;21;0;0.12
4139;15;0;0.12
4140;21;0;0.12
4141;21;0;0.12
4142;3;0;0.12
4143;21;0;0.12
4144;21;0.03;1.44
4145;3;0;0.12
4146;3;0;0.17
4147;15;0;0.23
4148;21;0.02;0.81
4149;15;0.06;1.43
4150;15;0.01;0.52
4151;21;0.09;3.05
4152;21;0.02;0.75
4153;21;0;0.29
4154;15;0.02;0.75
4155;21;0;0.29
4156;21;0;0.35
4157;15;0;0.12
4158;15;0;0.12
4159;11;0;0.17
4160;21;0;0.12
4161;21;0;0.12
4162;21;0.01;0.4
4163;21;0.01;0.63
4164;15;0.01;0.57
4165;21;0;0.17
4166;21;0;0.23
4167;21;0;0.17
4168;21;0;0.17
4169;21;0;0.12
4170;21;0;0.12
4171;15;0;0.12
4172;11;0;0.12
4173;21;0;0.12
4174;21;0;0.12
4175;15;0.12;2.2
4176;15;0.2;2.47
4177;21;0.02;0.64
4178;3;0.01;0.52
4179;12;0.02;0.97
4180;21;0;0.29
4181;3;0.13;2.82
4182;21;0;0.12
4183;21;0;0.12
4184;21;0;0.12
4185;21;0;0.17
4186;3;0;0.12
4187;21;0;0.12
4188;21;0;0.12
4189;21;0;0.35
4190;3;0;0.12
4191;15;0.03;1.04
4192;15;0;0.41
4193;15;0.16;4.02
4194;3;0.02;0.8
4195;21;0.01;0.52
4196;15;0.01;0.52
4197;3;0.01;0.46
4198;21;0.01;0.69
4199;21;0;0.23
4200;21;0;0.12
4201;21;0;0.12
4202;21;0;0.17
4203;21;0;0.17
4204;3;0;0.29
4205;21;0;0.12
4206;21;0.01;0.52
4207;3;0;0.23
4208;3;0.07;1.44
4209;15;0.01;0.58
4210;21;0.02;0.58
4211;3;0.06;1.26
4212;21;0.01;0.75
4213;12;0.02;0.57
4214;21;0.01;0.52
4215;3;0;0.17
4216;15;0.03;1.21
4217;3;0;0.17
4218;21;0.01;0.46
4219;21;0;0.12
4220;3;0;0.12
4221;21;0;0.12
4222;3;0;0.12
4223;33;0.01;0.46
4224;15;0;0.28
4225;21;0;0.12
4226;21;0;0.12
4227;3;0;0.23
4228;3;0.01;0.53
4229;21;0;0.41
4230;21;0.01;0.58
4231;15;0.04;1.26
4232;3;0;0.29
4233;15;0;0.23
4234;21;0;0.17
4235;3;0;0.12
4236;21;0.01;0.86
4237;3;0;0.12
4238;21;0.04;1.91
4239;21;0.01;0.52
4240;21;0;0.35
4241;15;0.02;0.69
4242;21;0.01;0.46
4243;21;0;0.29
4244;15;0.01;0.46
4245;21;0;0.23
4246;21;0;0.23
4247;3;0;0.34
4248;15;0;0.17
4249;21;0;0.12
4250;21;0;0.12
4251;21;0;0.17
4252;21;0.01;0.86
4253;21;0;0.12
4254;21;0;0.23
4255;21;0.1;3
4256;15;0.04;1.21
4257;21;0.01;0.7
4258;3;0.01;0.46
4259;21;0.02;0.92
4260;21;0.01;0.57
4261;21;0.04;2.17
4262;21;0.15;5.37
4263;3;0;0.29
4264;15;0;0.29
4265;21;0;0.29
4266;21;0;0.29
4267;21;0;0.12
4268;15;0;0.17
4269;12;0.06;2.19
4270;21;0;0.12
4271;21;0;0.12
4272;21;0;0.12
4273;21;0.03;0.87
4274;25;0.01;0.64
4275;3;0;0.29
4276;9;0.01;0.35
4277;21;0;0.23
4278;21;0.17;4.36
4279;21;0;0.17
4280;3;0;0.17
4281;21;0;0.12
4282;21;0;0.17
4283;12;0;0.23
4284;21;0;0.12
4285;21;0;0.12
4286;3;0;0.12
4287;21;0;0.12
4288;3;0;0.12
4289;21;0.04;1.91
4290;3;0.07;2.53
4291;15;0.01;0.46
4292;21;0.01;0.4
4293;21;0;0.35
4294;12;0.01;0.52
4295;15;0;0.29
4296;21;0;0.35
4297;21;0;0.17
4298;21;0;0.23
4299;3;0.01;0.52
4300;21;0;0.29
4301;3;0;0.17
4302;3;0;0.12
4303;21;0;0.12
4304;3;0;0.12
4305;21;0;0.12
4306;21;0;0.12
4307;3;0;0.12
4308;3;0.12;2.25
4309;21;0.05;1.45
4310;3;0.03;1.27
4311;21;0.01;0.63
4312;21;0.08;2.71
4313;21;0.01;0.46
4314;21;0.01;0.35
4315;21;0;0.35
4316;21;0;0.4
4317;21;0;0.29
4318;21;0;0.17
4319;21;0;0.23
4320;21;0;0.12
4321;3;0;0.12
4322;21;0;0.4
4323;15;0;0.12
4324;3;0;0.12
4325;21;0;0.12
4326;3;0;0.12
4327;3;0.17;3.17
4328;3;0.1;1.9
4329;3;0.04;1.5
4330;21;0.05;1.79
4331;21;0.08;2.99
4332;9;0.02;0.64
4333;33;0;0.29
4334;15;0.02;0.63
4335;21;0.01;0.46
4336;21;0;0.23
4337;21;0;0.12
4338;15;0;0.23
4339;12;0;0.12
4340;21;0;0.12
4341;21;0;0.12
4342;3;0;0.12
4343;21;0;0.12
4344;3;0.19;3.49
4345;21;0.01;0.64
4346;15;0.05;1.2
4347;9;0.01;0.64
4348;21;0.03;1.43
4349;15;0.01;0.64
4350;21;0;0.23
4351;21;0;0.23
4352;21;0.09;3.11
4353;15;0.01;0.4
4354;21;0.01;0.46
4355;21;0;0.12
4356;3;0;0.12
4357;15;0;0.12
4358;21;0;0.29
4359;12;0;0.12
4360;3;0;0.12
4361;3;0;0.12
4362;9;0.05;1.15
4363;21;0.83;14.03
4364;15;0.06;1.49
4365;21;0.04;1.33
4366;21;0.02;1.03
4367;21;0.02;0.92
4368;12;0.01;0.46
4369;21;0.01;0.63
4370;21;0;0.29
4371;21;0.01;0.46
4372;21;0;0.23
4373;21;0;0.29
4374;21;0.02;0.69
4375;21;0;0.29
4376;15;0;0.17
4377;25;0.01;0.34
4378;21;0;0.12
4379;15;0;0.12
4380;21;0;0.12
4381;21;0;0.17
4382;21;0;0.12
4383;25;0.01;0.46
4384;21;0.07;2.14
4385;21;0.01;0.92
4386;21;0.01;0.52
4387;15;0.01;0.4
4388;21;0;0.23
4389;21;0;0.29
4390;3;0.01;0.46
4391;21;0;0.17
4392;21;0;0.12
4393;21;0;0.12
4394;15;0.01;0.52
4395;21;0;0.12
4396;21;0;0.17
4397;21;0.01;0.63
4398;21;0;0.12
4399;9;0.02;0.8
4400;21;0;0.12
4401;21;0.01;0.69
4402;3;0.03;0.97
4403;21;0;0.35
4404;3;0.01;0.57
4405;33;0;0.35
4406;21;0;0.17
4407;21;0;0.29
4408;21;0;0.17
4409;21;0;0.35
4410;21;0;0.23
4411;21;0;0.12
4412;21;0;0.23
4413;21;0;0.12
4414;21;0;0.12
4415;21;0;0.17
4416;9;0;0.12
4417;21;0;0.17
4418;21;0;0.12
4419;21;0;0.34
4420;15;0.3;4.89
4421;21;0.01;0.57
4422;21;0.01;0.57
4423;15;0.01;0.57
4424;21;0;0.12
4425;15;0.01;0.4
4426;21;0;0.12
4427;21;0;0.12
4428;21;0;0.12
4429;3;0;0.12
4430;21;0;0.12
4431;15;0.01;0.58
4432;9;0.01;0.52
4433;25;0.01;0.63
4434;21;0.01;0.57
4435;21;0;0.23
4436;3;0.02;0.87
4437;12;0.01;0.58
4438;21;0;0.12
4439;21;0;0.12
4440;21;0;0.23
4441;21;0;0.17
4442;21;0;0.23
4443;21;0.01;0.46
4444;21;0.01;0.52
4445;21;0.01;0.52
4446;21;0;0.17
4447;21;0;0.17
4448;21;0;0.23
4449;21;0;0.23
4450;21;0;0.23
4451;21;0.46;12.09
4452;3;0;0.12
4453;3;0.02;0.92
4454;15;0.04;1.09
4455;21;0.1;1.9
4456;3;0.02;0.75
4457;21;0.01;0.52
4458;21;0;0.23
4459;21;0;0.35
4460;21;0;0.12
4461;21;0;0.12
4462;3;0.01;0.69
4463;21;0;0.12
4464;21;0;0.12
4465;21;0;0.12
4466;21;0;0.12
4467;21;0;0.17
4468;15;0.37;5.72
4469;9;0.12;2.59
4470;21;0.03;1.21
4471;15;0.02;0.69
4472;21;0;0.12
4473;21;0;0.12
4474;21;0;0.12
4475;21;0;0.23
4476;21;0;0.12
4477;15;0.02;0.75
4478;21;0.13;3.87
4479;21;0.02;0.87
4480;24;0.01;0.52
4481;15;0.05;1.5
4482;15;0.01;0.64
4483;12;0.01;0.35
4484;15;0;0.17
4485;3;0;0.17
4486;21;0;0.4
4487;21;0.02;0.75
4488;21;0;0.17
4489;21;0.01;0.75
4490;21;0;0.17
4491;21;0;0.12
4492;21;0;0.23
4493;21;0;0.17
4494;3;0;0.12
4495;3;0;0.12
4496;12;0.08;2.31
4497;3;0.06;1.44
4498;3;0.03;0.98
4499;21;0.01;0.4
4500;21;0.05;1.78
4501;12;0.05;1.77
4502;3;0;0.17
4503;9;0.01;0.58
4504;3;0;0.28
4505;3;0;0.12
4506;11;0;0.12
4507;21;0;0.12
4508;21;0;0.12
4509;21;0;0.12
4510;21;0;0.12
4511;21;0.22;4.83
4512;21;0.02;1.09
4513;3;0.01;0.75
4514;3;0;0.17
4515;21;0;0.17
4516;15;0;0.23
4517;21;0;0.12
4518;21;0;0.12
4519;21;0.01;0.57
4520;21;0;0.12
4521;12;0;0.12
4522;21;0;0.12
4523;21;0;0.17
4524;21;0;0.17
4525;21;0;0.12
4526;21;0;0.34
4527;21;0.59;12.19
4528;15;0.32;4.57
4529;15;0.01;0.52
4530;21;0.38;8.87
4531;15;0.11;2.75
4532;15;0.02;0.86
4533;21;0;0.23
4534;21;0;0.12
4535;21;0;0.17
4536;3;0;0.17
4537;21;0;0.17
4538;21;0.01;0.46
4539;21;0;0.12
4540;21;0;0.12
4541;21;0;0.12
4542;21;0;0.12
4543;3;1.65;21.04
4544;21;0.11;2.82
4545;3;0.01;0.81
4546;24;0.04;1.38
4547;21;0;0.29
4548;33;0;0.23
4549;21;0.1;3.34
4550;21;0;0.34
4551;21;0;0.29
4552;21;0;0.12
4553;21;0;0.12
4554;3;0;0.17
4555;21;0;0.17
4556;21;0;0.12
4557;21;0.55;14.24
4558;3;0.07;1.56
4559;15;0.02;0.75
4560;15;0.08;1.72
4561;21;0.02;0.74
4562;21;0;0.17
4563;21;0;0.17
4564;15;0.01;0.4
4565;15;0;0.12
4566;21;0.22;4.43
4567;3;0.01;0.46
4568;21;0;0.17
4569;3;0;0.17
4570;21;0;0.4
4571;21;0;0.17
4572;21;0;0.12
4573;21;0;0.12
4574;21;0;0.12
4575;15;0.09;2.18
4576;21;0.01;0.46
4577;21;0.08;2.53
4578;15;0.09;2
4579;21;0;0.35
4580;3;0;0.23
4581;15;0.02;0.86
4582;3;0;0.34
4583;15;0.2;3.85
4584;21;0;0.12
4585;21;0.07;2.69
4586;21;0;0.12
4587;21;0;0.12
4588;21;0;0.4
4589;21;0.09;3.28
4590;3;0;0.29
4591;21;0.01;0.46
4592;15;0.03;0.98
4593;15;0;0.17
4594;21;0;0.23
4595;21;0.02;0.98
4596;15;0.03;0.98
4597;3;0;0.28
4598;3;0;0.12
4599;3;0;0.17
4600;21;0.11;3.06
4601;21;0.02;0.86
4602;21;0.01;0.52
4603;21;0.24;6.58
4604;21;0.05;1.72
4605;15;0;0.17
4606;21;0;0.28
4607;3;0;0.12
4608;15;0;0.17
4609;3;0;0.12
4610;21;0.43;7.79
4611;21;0.02;0.81
4612;15;0.04;1.26
4613;21;0.08;3.05
4614;3;1.27;19.88
4615;21;0.01;0.46
4616;3;0.01;0.81
4617;21;0;0.12
4618;21;0;0.12
4619;21;0;0.12
4620;21;0;0.12
4621;21;0;0.12
4622;21;0;0.28
4623;15;0;0.12
4624;3;0;0.23
4625;21;0.01;0.75
4626;21;0.01;0.52
4627;3;0.02;0.75
4628;21;0.01;0.52
4629;21;3.87;85.13
4630;15;0.01;0.4
4631;21;0;0.17
4632;15;0.03;0.92
4633;15;0.01;0.64
4634;15;0;0.12
4635;21;0;0.29
4636;21;0;0.12
4637;21;0;0.12
4638;21;0;0.12
4639;21;0;0.17
4640;21;0.14;4.26
4641;3;0.01;0.46
4642;21;0.02;0.86
4643;11;0.01;0.58
4644;21;0;0.29
4645;21;0.02;0.63
4646;21;0;0.12
4647;21;0;0.17
4648;3;0;0.28
4649;21;0;0.12
4650;21;0;0.12
4651;21;0;0.17
4652;21;0;0.12
4653;21;0;0.12
4654;15;0.13;2.87
4655;15;0.01;0.4
4656;15;0.04;1.21
4657;3;0;0.29
4658;21;0.02;1.15
4659;25;0;0.29
4660;21;0;0.41
4661;21;0;0.23
4662;21;0;0.17
4663;21;0;0.12
4664;21;0;0.12
4665;3;0;0.23
4666;21;0;0.12
4667;21;0;0.12
4668;21;0;0.12
4669;21;0.01;0.69
4670;15;0.01;0.63
4671;15;0.01;0.4
4672;3;0;0.23
4673;11;0;0.17
4674;21;0.1;3.39
4675;3;0;0.17
4676;21;0;0.17
4677;21;0;0.12
4678;21;0;0.17
4679;21;0;0.12
4680;21;0;0.12
4681;21;0;0.12
4682;21;0;0.12
4683;21;0;0.17
4684;21;0.01;0.7
4685;3;0.01;0.63
4686;21;0.01;0.52
4687;15;0.01;0.69
4688;3;0;0.17
4689;21;0.01;0.52
4690;21;0;0.17
4691;15;0;0.17
4692;3;0;0.17
4693;21;0;0.12
4694;21;0;0.12
4695;21;0;0.12
4696;21;0;0.34
4697;21;0;0.12
4698;3;0;0.17
4699;21;0.04;1.78
4700;21;0.02;0.92
4701;9;0.02;0.75
4702;15;0.01;0.58
4703;21;0.13;5.01
4704;21;0.01;0.46
4705;33;0;0.23
4706;9;0;0.17
4707;3;0;0.12
4708;21;0;0.12
4709;21;0.04;1.37
4710;21;0;0.12
4711;21;0;0.12
4712;21;0;0.12
4713;3;0;0.12
4714;21;0;0.4
4715;3;0.04;1.27
4716;21;0.09;4.6
4717;3;0;0.29
4718;21;0.01;0.4
4719;21;0.01;0.4
4720;15;0;0.12
4721;3;0;0.17
4722;21;0;0.17
4723;21;0;0.12
4724;21;0;0.12
4725;15;0.05;1.61
4726;15;0.05;1.2
4727;21;0.08;3.27
4728;21;0.06;2.82
4729;15;0;0.4
4730;15;0;0.23
4731;3;0;0.12
4732;3;0;0.12
4733;21;0;0.17
4734;21;0;0.12
4735;3;0;0.12
4736;21;0;0.12
4737;21;0;0.12
4738;21;0;0.12
4739;21;0.06;1.79
4740;21;0.03;1.04
4741;21;0.01;0.4
4742;15;0.01;0.35
4743;3;0;0.17
4744;21;0.03;1.78
4745;11;0;0.35
4746;3;0;0.29
4747;15;0.01;0.4
4748;21;0;0.12
4749;15;0.06;1.61
4750;15;0.02;0.93
4751;21;0;0.35
4752;15;0.26;4.48
4753;12;0;0.23
4754;21;0.01;0.34
4755;21;0;0.12
4756;21;0.03;1.15
4757;15;0.01;0.4
4758;21;0.13;2.99
4759;15;0.01;0.4
4760;11;0;0.17
4761;15;0;0.35
4762;15;0.04;1.5
4763;21;0;0.12
4764;21;0;0.29
4765;21;0;0.12
4766;21;0.01;0.4
4767;3;0.01;0.52
4768;21;0.03;0.93
4769;15;0.01;0.47
4770;21;0.01;0.63
4771;21;0;0.29
4772;21;0;0.17
4773;9;0.02;0.75
4774;21;0;0.17
4775;21;0;0.12
4776;21;0;0.12
4777;21;0;0.12
4778;3;0;0.17
4779;21;0;0.12
4780;15;0;0.28
4781;21;0;0.17
4782;21;0.12;3.23
4783;15;0.09;1.77
4784;21;0.01;0.41
4785;21;0.03;1.21
4786;21;0;0.23
4787;24;0.16;4.09
4788;21;0.02;1.03
4789;3;0;0.29
4790;21;0;0.17
4791;21;0;0.12
4792;21;0;0.12
4793;12;0;0.12
4794;21;0;0.12
4795;21;0;0.12
4796;3;0;0.17
4797;15;0;0.12
4798;3;0.23;5
4799;3;0.69;6.57
4800;15;0.09;1.61
4801;3;0.03;0.86
4802;15;0.02;0.69
4803;21;0.01;0.35
4804;21;0.01;0.51
4805;21;0;0.4
4806;21;0;0.17
4807;21;0;0.12
4808;15;0;0.12
4809;21;0;0.12
4810;3;0;0.12
4811;15;0;0.12
4812;21;0;0.12
4813;21;0;0.17
4814;21;0;0.12
4815;21;0.01;0.63
4816;21;0;0.12
4817;21;0.38;7.53
4818;21;0.07;2.64
4819;21;0.05;1.55
4820;21;0;0.23
4821;25;0.01;0.52
4822;21;0;0.12
4823;21;0;0.17
4824;15;0;0.12
4825;21;0.01;1.04
4826;21;0.04;1.56
4827;15;0;0.12
4828;3;0;0.12
4829;21;0;0.12
4830;21;0;0.12
4831;3;0;0.12
4832;15;0.06;1.72
4833;12;0.01;0.64
4834;21;0.03;1.21
4835;21;0.03;1.5
4836;9;0.02;0.81
4837;21;0;0.17
4838;3;0;0.12
4839;21;0;0.17
4840;3;0;0.17
4841;15;0;0.23
4842;3;0;0.12
4843;21;0;0.12
4844;3;0;0.23
4845;21;0;0.17
4846;21;0.05;2.07
4847;21;0.01;0.41
4848;21;0.02;0.81
4849;15;0.01;0.57
4850;21;0;0.23
4851;21;0;0.29
4852;3;0;0.12
4853;3;0;0.17
4854;21;0;0.12
4855;21;0;0.12
4856;3;0;0.17
4857;15;0.94;10.45
4858;3;0.05;1.26
4859;21;0.16;5
4860;21;0.02;0.75
4861;21;0.04;1.55
4862;21;0.02;0.92
4863;21;0;0.4
4864;21;0.01;0.75
4865;9;0;0.34
4866;21;0;0.4
4867;21;0;0.4
4868;15;0.02;0.87
4869;21;0.04;1.5
4870;15;0.07;1.49
4871;15;0.03;0.75
4872;3;0.04;1.38
4873;21;0;0.29
4874;21;0.15;5.18
4875;21;0;0.35
4876;21;0;0.29
4877;3;0;0.23
4878;21;0;0.17
4879;21;0;0.29
4880;21;0;0.12
4881;21;0;0.12
4882;21;0;0.12
4883;21;0;0.12
4884;3;0.15;3.33
4885;21;0;0.23
4886;21;0.01;0.63
4887;3;0;0.23
4888;15;0;0.12
4889;21;0;0.12
4890;21;0;0.12
4891;21;0.01;0.4
4892;15;0;0.12
4893;21;0;0.34
4894;15;0.15;2.43
4895;15;0.22;3.86
4896;21;0.2;5.3
4897;21;0.02;0.69
4898;21;0;0.23
4899;21;0.01;0.53
4900;21;0;0.17
4901;21;0;0.17
4902;3;0;0.12
4903;21;0;0.12
4904;21;0;0.23
4905;15;4.25;42.27
4906;24;0.06;2.02
4907;21;0.03;0.86
4908;15;0.03;0.86
4909;15;0.01;0.4
4910;3;0.61;7.92
4911;21;0;0.29
4912;15;0.06;1.32
4913;21;0;0.29
4914;21;0;0.29
4915;21;0;0.17
4916;15;0;0.29
4917;15;0;0.17
4918;3;0;0.17
4919;21;0;0.12
4920;21;0;0.12
4921;24;0;0.17
4922;21;0.01;0.58
4923;15;0.01;0.63
4924;21;0;0.35
4925;21;0;0.29
4926;21;0;0.4
4927;21;0.04;1.04
4928;21;0;0.29
4929;21;0.02;0.8
4930;21;0;0.17
4931;21;0;0.12
4932;21;0;0.12
4933;21;0;0.12
4934;21;0;0.23
4935;3;0;0.12
4936;15;0;0.23
4937;24;0.1;2.76
4938;21;0;0.12
4939;21;0.12;4.26
4940;21;0.03;1.32
4941;21;0.08;1.78
4942;15;0.02;0.81
4943;21;0.01;0.46
4944;15;0.05;1.21
4945;21;0.01;0.58
4946;21;0.01;0.58
4947;21;0;0.28
4948;15;0;0.12
4949;15;0;0.23
4950;21;0;0.12
4951;21;0;0.12
4952;21;0.06;2.19
4953;21;0.03;1.21
4954;21;0.01;0.52
4955;21;0;0.23
4956;21;0;0.12
4957;21;0;0.23
4958;15;0;0.12
4959;12;0.1;2.17
4960;15;0.01;0.46
4961;15;0.01;0.4
4962;21;0;0.17
4963;21;0;0.17
4964;3;0;0.12
4965;21;0;0.12
4966;21;0;0.12
4967;3;0;0.12
4968;15;0;0.17
4969;21;0.2;6.35
4970;15;2.69;35.51
4971;21;0;0.17
4972;21;0;0.34
4973;21;0;0.34
4974;21;0;0.17
4975;21;0;0.4
4976;21;0;0.23
4977;21;0;0.12
4978;21;0;0.12
4979;21;0;0.17
4980;21;0.26;8.11
4981;15;0.03;0.98
4982;24;0.02;0.75
4983;21;0.02;0.98
4984;9;0.01;0.4
4985;21;0;0.17
4986;15;0;0.35
4987;25;0.01;0.46
4988;9;0;0.12
4989;21;0.01;0.57
4990;21;0.32;8.49
4991;3;0.05;1.8
4992;21;0.2;3.85
4993;21;0.01;0.46
4994;21;0;0.29
4995;21;0.01;0.52
4996;21;0;0.17
4997;3;0;0.17
4998;15;0.01;0.46
4999;21;0;0.17
5000;3;0.19;2.58
5001;21;0;0.17
5002;3;0;0.23
5003;9;0;0.17
5004;3;0;0.17
5005;15;0;0.12
5006;15;0.1;2.18
5007;21;0.03;1.15
5008;21;0.18;5.81
5009;21;0.01;0.46
5010;21;0.02;0.86
5011;21;0;0.29
5012;15;0.01;0.8
