fid;DN;a_quilômetros quadrados;p_quilômetros
175;21;0;0.29
176;21;0;0.29
177;21;0;0.12
178;21;0.02;1.16
179;21;0;0.17
180;3;0.04;1.15
181;21;0;0.23
182;21;0;0.12
183;15;0.23;4.74
184;15;0.17;3.7
185;15;0.01;0.46
186;21;0;0.17
187;21;0;0.4
188;15;0.01;0.4
189;21;0;0.12
190;15;0.01;0.76
191;21;0.01;0.64
192;21;0;0.17
193;21;0;0.17
194;21;0;0.12
195;15;0;0.12
196;25;0;0.17
197;21;0;0.12
198;21;0;0.17
199;21;0.18;4.37
200;3;0.02;0.87
201;21;0.01;0.87
202;21;0;0.35
203;3;0;0.17
204;15;0.01;0.35
205;21;0;0.23
206;3;0;0.12
207;15;0.05;1.21
208;15;0.02;0.58
209;21;0;0.17
210;21;0;0.4
211;12;0;0.17
212;21;0;0.34
213;3;0;0.12
214;21;0;0.17
215;21;0;0.12
216;21;0.02;0.69
217;21;0.01;0.52
218;15;0.01;0.46
219;3;0;0.12
220;21;0;0.12
221;12;0;0.12
222;15;0.62;7.86
223;21;0.02;1.1
224;15;0.28;4.7
225;24;0.2;3.98
226;15;0.04;1.04
227;15;0.01;0.46
228;21;0.06;2.54
229;21;0.2;6.22
230;3;0.01;0.64
231;21;0;0.17
232;21;0;0.17
233;21;0.01;0.52
234;21;0;0.17
235;21;0.07;2.71
236;9;0.02;0.86
237;15;0.02;0.8
238;3;0;0.35
239;21;0.01;0.46
240;3;0;0.23
241;21;0.06;1.9
242;15;0;0.34
243;21;0;0.34
244;21;0.02;0.81
245;21;0.04;1.15
246;3;0.06;1.73
247;21;0;0.23
248;21;0.01;0.4
249;15;0;0.12
250;3;0;0.12
251;21;0;0.12
252;21;0;0.12
253;15;0;0.12
254;15;0.05;1.21
255;21;0;0.17
256;15;0;0.12
257;21;0.06;1.67
258;33;0.01;0.52
259;21;0.11;2.77
260;21;0.15;3.75
261;21;0;0.35
262;21;0;0.17
263;25;0;0.29
264;15;0.16;2.77
265;21;0.02;1.04
266;21;0.22;5.76
267;21;0;0.12
268;15;0.01;0.63
269;15;0.04;0.98
270;15;0.01;0.4
271;15;0.01;0.57
272;21;0.17;3.58
273;3;0.01;0.4
274;3;0;0.17
275;3;0;0.12
276;21;0;0.12
277;21;0;0.12
278;21;0.08;2.7
279;21;0;0.12
280;21;0;0.12
281;21;0.01;0.52
282;3;0.01;0.52
283;3;0;0.29
284;21;0;0.17
285;21;0;0.17
286;21;0;0.35
287;21;0.01;0.4
288;21;0;0.17
289;21;0;0.17
290;25;0;0.12
291;21;0;0.34
292;21;0;0.12
293;15;0.02;0.69
294;15;0.01;0.46
295;15;0;0.29
296;21;0.02;0.75
297;21;0.02;1.21
298;3;0.01;0.52
299;21;0;0.17
300;21;0;0.12
301;3;0;0.12
302;3;0;0.34
303;3;0.02;0.75
304;21;0.06;1.61
305;21;0;0.17
306;3;0.35;5.71
307;3;0;0.12
308;3;0;0.17
309;15;0;0.17
310;21;0.02;0.86
311;25;0.01;0.4
312;21;0;0.12
313;3;0;0.12
314;21;0;0.12
315;21;0.01;0.47
316;21;0.23;6.97
317;21;0.04;1.21
318;15;0.01;0.63
319;21;0;0.29
320;21;0;0.17
321;21;0;0.17
322;3;0.35;5.1
323;21;0.01;0.46
324;21;0;0.17
325;21;0;0.12
326;15;0.02;0.8
327;21;0;0.17
328;3;0.01;0.4
329;21;0;0.12
330;21;0;0.12
331;21;0;0.17
332;21;0;0.29
333;15;0.17;4.33
334;21;0.01;0.52
335;21;0.04;1.73
336;21;0;0.23
337;3;0;0.17
338;24;0.26;5.02
339;21;0.08;2.76
340;21;0.02;0.75
341;3;0;0.23
342;3;0.01;0.35
343;3;0;0.12
344;21;0;0.23
345;3;0.01;0.57
346;15;0.01;0.52
347;21;0.01;0.46
348;21;0;0.17
349;21;0;0.12
350;21;0;0.12
351;3;0;0.12
352;21;0.01;0.57
353;3;0;0.12
354;3;0.73;9.8
355;24;0.12;3.41
356;21;0.01;0.46
357;21;0.02;0.8
358;21;0;0.17
359;15;0;0.29
360;21;0;0.12
361;21;0;0.12
362;21;0;0.12
363;21;0;0.12
364;21;0.23;5.61
365;21;0.06;2.48
366;21;0.03;1.38
367;3;0;0.23
368;21;0;0.12
369;21;0;0.12
370;25;0.01;0.58
371;21;0.01;0.69
372;21;0.01;0.52
373;15;0.01;0.46
374;24;0.17;5.98
375;21;0;0.17
376;21;0.01;0.46
377;21;0;0.17
378;3;0;0.12
379;21;0;0.17
380;21;0.01;0.64
381;21;0;0.29
382;21;0;0.17
383;21;0;0.17
384;15;0;0.12
385;21;0;0.12
386;21;0;0.12
387;21;0;0.17
388;15;0.54;9.5
389;25;0.01;0.46
390;21;0.01;0.58
391;21;0;0.23
392;21;0.01;0.57
393;21;0;0.12
394;21;0;0.12
395;24;0;0.4
396;21;0;0.12
397;21;0;0.12
398;21;0.01;0.52
399;21;0;0.12
400;15;0;0.12
401;3;0;0.12
402;3;0;0.12
403;21;0;0.12
404;21;0;0.12
405;3;0;0.12
406;15;0.13;2.12
407;21;0.01;0.64
408;21;0.01;0.4
409;21;0.01;0.52
410;21;0;0.17
411;21;0.01;0.7
412;25;0.01;0.46
413;21;0.02;0.87
414;21;0;0.17
415;21;0;0.17
416;21;0;0.23
417;21;0;0.17
418;21;0;0.12
419;21;0;0.23
420;21;0;0.12
421;15;0.09;2.36
422;21;0.07;2.54
423;21;0.01;0.52
424;21;0.04;1.32
425;21;0;0.17
426;3;0;0.17
427;21;0;0.34
428;21;0.03;1.04
429;15;0.01;0.4
430;25;0.01;0.46
431;3;0;0.17
432;21;0;0.12
433;21;0;0.12
434;21;0;0.17
435;21;0;0.12
436;21;0;0.12
437;3;0;0.12
438;21;0;0.17
439;15;0.44;8.41
440;21;0.1;2.75
441;21;0.01;0.58
442;21;0.01;0.4
443;21;0.01;0.46
444;21;0;0.17
445;3;0;0.17
446;21;0;0.12
447;21;0;0.12
448;21;0;0.12
449;3;0;0.12
450;21;0;0.12
451;15;0.07;1.5
452;3;1.06;11.31
453;15;0.32;3.85
454;15;0.12;2.42
455;21;0;0.29
456;3;0.01;0.46
457;21;0;0.12
458;21;0;0.23
459;21;0;0.12
460;15;0;0.12
461;21;0;0.12
462;3;0;0.12
463;21;0;0.12
464;21;0.02;1.27
465;21;0;0.35
466;21;0.01;0.46
467;3;0.01;0.35
468;3;0;0.17
469;21;0;0.12
470;3;0;0.12
471;21;0;0.12
472;21;0;0.12
473;21;0;0.12
474;21;0;0.12
475;21;0.01;0.46
476;9;0.01;0.52
477;21;0;0.17
478;15;0;0.23
479;21;0;0.23
480;21;0;0.17
481;21;0;0.12
482;21;0;0.12
483;21;0;0.12
484;15;0.08;2.14
485;15;0.02;0.97
486;21;0;0.23
487;15;0.1;3.23
488;21;0;0.12
489;21;0;0.12
490;21;0;0.12
491;3;1.04;12.51
492;21;0.21;5.87
493;25;0;0.41
494;21;0.03;0.98
495;3;0;0.35
496;21;0;0.23
497;21;0;0.17
498;21;0;0.12
499;21;0;0.12
500;15;0;0.12
501;21;0.03;1.62
502;15;0.06;1.32
503;21;0.02;0.86
504;3;0;0.29
505;21;0;0.17
506;21;0;0.12
507;3;0;0.12
508;21;0;0.12
509;15;0.01;0.4
510;15;0.08;2.13
511;15;0.01;0.4
512;21;0;0.29
513;21;0.01;0.52
514;21;0.02;1.1
515;21;0;0.29
516;3;0;0.12
517;3;0;0.4
518;21;0;0.12
519;21;0;0.12
520;24;0;0.12
521;21;0.01;0.46
522;21;0;0.28
523;3;0;0.12
524;21;0;0.12
525;21;0.44;9.5
526;15;0.09;2.48
527;21;0.03;1.2
528;15;0.02;0.8
529;21;0.01;0.4
530;21;0;0.23
531;21;0.03;1.26
532;21;0;0.12
533;21;0;0.12
534;21;0;0.17
535;21;0;0.12
536;3;0.46;6.51
537;21;0.07;2.26
538;25;0.02;0.75
539;15;0.01;0.46
540;21;0;0.23
541;21;0.01;0.57
542;21;0.01;0.46
543;21;0;0.23
544;3;0;0.29
545;3;0;0.17
546;21;0.01;0.57
547;3;0;0.29
548;21;0;0.12
549;21;0;0.12
550;15;0;0.12
551;15;0.01;0.46
552;21;0.01;0.76
553;15;0.01;0.34
554;21;0.01;0.81
555;21;0;0.23
556;21;0.24;4.84
557;25;0.01;0.69
558;21;0.01;0.4
559;3;0.01;0.52
560;3;0.01;0.52
561;21;0.01;0.4
562;3;0.03;1.2
563;21;0.01;0.46
564;12;0.01;0.4
565;21;0;0.17
566;3;0;0.12
567;3;0.05;1.1
568;3;0.15;4.02
569;15;0.7;12.16
570;21;0.05;1.55
571;21;0.02;0.75
572;21;0.09;3.18
573;21;0;0.23
574;21;0.29;7.78
575;15;0.1;2.36
576;15;0;0.35
577;21;0.01;0.63
578;21;0;0.29
579;3;0;0.17
580;21;0;0.12
581;3;0;0.12
582;3;0;0.12
583;15;0;0.29
584;21;0;0.12
585;15;0.02;0.69
586;21;0.02;0.8
587;21;0.05;1.49
