Vazão (m³/s);Permanência (%)
6,361999989;94,33
6,361999989;94,33
6,361999989;94,32
6,361999989;94,32
6,37869978;94,31
6,37869978;94,31
6,37869978;94,3
6,391600132;94,3
6,391600132;94,29
6,391600132;94,29
6,391600132;94,29
6,391600132;94,28
6,41260004;94,28
6,41260004;94,27
6,41260004;94,27
6,41260004;94,26
6,41260004;94,26
6,41260004;94,25
6,431300163;94,25
6,431300163;94,25
6,431300163;94,24
6,431300163;94,24
6,431300163;94,23
6,431300163;94,23
6,431300163;94,22
6,431300163;94,22
6,431300163;94,21
6,431300163;94,21
6,445799828;94,21
6,445799828;94,2
6,445799828;94,2
6,445799828;94,19
6,445799828;94,19
6,445799828;94,18
6,445799828;94,18
6,493199825;94,17
6,493199825;94,17
6,493199825;94,16
6,493199825;94,16
6,493199825;94,16
6,493199825;94,15
6,493199825;94,15
6,493199825;94,14
6,493199825;94,14
6,493199825;94,13
6,493199825;94,13
6,493199825;94,12
6,493199825;94,12
6,493199825;94,12
6,493199825;94,11
6,493199825;94,11
6,493199825;94,1
6,493199825;94,1
6,493199825;94,09
6,493199825;94,09
6,493199825;94,08
6,493199825;94,08
6,493199825;94,07
6,493199825;94,07
6,493199825;94,07
6,493199825;94,06
6,493199825;94,06
6,493199825;94,05
6,493199825;94,05
6,493199825;94,04
6,493199825;94,04
6,493199825;94,03
6,493199825;94,03
6,493199825;94,03
6,493199825;94,02
6,493199825;94,02
6,493199825;94,01
6,493199825;94,01
6,493199825;94
6,493199825;94
6,493199825;93,99
6,493199825;93,99
6,493199825;93,99
6,493199825;93,98
6,493199825;93,98
6,493199825;93,97
6,493199825;93,97
6,493199825;93,96
6,493199825;93,96
6,493199825;93,95
6,493199825;93,95
6,493199825;93,94
6,493199825;93,94
6,493199825;93,94
6,493199825;93,93
6,493199825;93,93
6,493199825;93,92
6,493199825;93,92
6,493199825;93,91
6,493199825;93,91
6,493199825;93,9
6,493199825;93,9
6,493199825;93,9
6,493199825;93,89
6,493199825;93,89
6,493199825;93,88
6,49819994;93,88
6,49819994;93,87
6,49819994;93,87
6,49819994;93,86
6,49819994;93,86
6,49819994;93,85
6,49819994;93,85
6,49819994;93,85
6,49819994;93,84
6,49819994;93,84
6,49819994;93,83
6,49819994;93,83
6,49819994;93,82
6,49819994;93,82
6,499300003;93,81
6,499300003;93,81
6,525400162;93,81
6,525400162;93,8
6,525400162;93,8
6,525400162;93,79
6,539800167;93,79
6,539800167;93,78
6,539800167;93,78
6,539800167;93,77
6,539800167;93,77
6,539800167;93,77
6,562200069;93,76
6,562200069;93,76
6,562200069;93,75
6,562200069;93,75
6,562200069;93,74
6,562200069;93,74
6,562200069;93,73
6,562200069;93,73
