Length;Heigth
16900.12509;571.1099854
16941.19211;571.1099854
16982.25914;571.1099854
17011.29791;572.666687
17052.36493;584.4039307
17081.4037;584.4039307
17110.44248;585.4276733
17139.48125;585.4276733
17168.52002;585.4276733
17209.58704;585.4276733
17238.62581;584.480835
17279.69284;584.480835
17308.73161;591.0432129
17349.79864;592.8453369
17378.83741;592.8453369
17407.87618;593.5974121
17436.91495;593.5974121
17465.95372;593.5974121
17507.02075;593.5974121
17536.05952;593.5974121
17565.09829;593.5974121
17594.13706;593.5974121
17635.20409;593.2230835
17664.24286;596.2885742
17705.30988;597.6601563
17746.37691;597.6601563
17787.44393;597.6601563
17816.4827;597.6601563
17845.52147;597.6601563
17874.56025;597.6601563
17903.59902;597.6601563
17932.63779;597.6601563
17973.70481;597.5004883
18002.74359;595.4745483
18043.81061;595.4745483
18084.87764;595.4745483
18125.94466;595.4745483
18167.01168;595.4745483
18196.05046;600.0066528
18237.11748;600.0066528
18266.15625;600.0066528
18307.22328;600.0066528
18336.26205;601.7485352
18365.30082;601.7485352
18406.36785;601.7485352
18435.40662;601.7485352
18476.47364;601.7485352
18505.51241;601.7485352
18546.57944;603.8745117
18575.61821;604.0583496
18616.68523;605.5517578
18645.72401;610.2492676
18686.79103;612.4344482
18727.85805;619.8973999
18756.89683;621.1033325
18797.96385;621.1033325
18839.03088;621.1033325
18880.0979;621.1033325
18921.16492;621.1033325
18950.2037;621.1033325
18979.24247;626.4614258
19008.28124;631.7588501
19037.32001;631.7588501
19066.35878;631.7588501
19107.42581;631.7588501
19136.46458;632.3287354
19165.50335;634.0453491
19206.57038;630.5883179
19247.6374;627.0981445
19288.70442;625.8694458
19329.77145;625.0928345
19358.81022;624.5964966
19399.87725;624.5964966
19428.91602;624.5964966
19469.98304;624.5964966
19499.02181;624.5964966
19528.06059;624.5964966
19557.09936;624.5964966
19586.13813;624.5964966
19615.1769;624.5964966
19644.21567;626.5203247
19673.25444;629.9864502
19702.29321;629.1054077
19731.33199;626.4206543
19772.39901;630.4141846
19801.43778;623.2275391
19842.50481;623.2275391
19883.57183;626.5327148
19924.63886;622.4629517
19965.70588;621.7957764
20006.77291;621.7957764
20047.83993;621.7957764
20076.8787;621.7957764
20117.94573;628.3131714
20146.9845;629.0834961
20176.02327;630.8557739
20205.06204;631.5736084
20246.12907;625.90448
20275.16784;622.2540894
20304.20661;622.2540894
20345.27363;623.2579346
20374.31241;619.373291
20403.35118;619.373291
20432.38995;619.373291
20473.45697;619.373291
20502.49575;619.373291
20531.53452;619.373291
20560.57329;619.373291
20589.61206;619.373291
20618.65083;619.373291
20647.6896;619.373291
20676.72837;619.5047607
20705.76715;619.373291
20734.80592;619.373291
20763.84469;619.373291
